"","lab_id_number","date_ordered","sample_name","ordered_by","notebook_page_number","srm_order_number","srm_sample_number","SRM_concat","assay","tissue","tumor_type","species","failed","notes","extra_unnamed_col1","source_file","source_sheet"
"1","DY4307","8/11/26","MAST 97 thawed","Natalie Geiger",NA,880937,"3485612","880937-3485612","OmniSTR mi-seq (new PPX)","DNA",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"2","DY4308","8/11/26","MAST 191B thawed","Natalie Geiger",NA,880937,"3485612","880937-3485612","OmniSTR mi-seq (new PPX)","DNA",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"3","DY4309","8/11/26","SKNMM tet N-MYC","Natalie Geiger",NA,880937,"3485612","880937-3485612","OmniSTR mi-seq (new PPX)","DNA",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"4","DYE 3875","8/27/20","Vsx2SE-ConsensusB wt","Honnell, Victoria","VH_2.20.49",198174,"2017033","198174-2017033","RNA-seq Total Stranded","retina",NA,"mouse",NA,"Paired, 250 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"5","DYE 3876","8/27/20","Vsx2SE-ConsensusB het","Honnell, Victoria","VH_2.20.49",198174,"2017034","198174-2017034","RNA-seq Total Stranded","retina",NA,"mouse",NA,"Paired, 250 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"6","DYE 3877","8/27/20","Vsx2SE-ConsensusB ko","Honnell, Victoria","VH_2.20.49",198174,"2017035","198174-2017035","RNA-seq Total Stranded","retina",NA,"mouse",NA,"Paired, 250 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"7","DYE 3894","9/13/20","Vsx2SE-Consensus_1 wt","Honnell, Victoria","VH_2.20.57",199556,"2017033","199556-2017033","RNA-seq Total Stranded","retina",NA,"mouse",NA,"Paired, 100 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"8","DYE 3895","9/13/20","Vsx2SE-Consensus_1 het","Honnell, Victoria","VH_2.20.57",199556,"2017034","199556-2017034","RNA-seq Total Stranded","retina",NA,"mouse",NA,"Paired, 100 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"9","DYE 3896","9/13/20","Vsx2SE-Consensus_1 ko","Honnell, Victoria","VH_2.20.57",199556,"2017035","199556-2017035","RNA-seq Total Stranded","retina",NA,"mouse",NA,NA,NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"10","DYE2484","12/5/24","MERTK K619M Clone 1D6 (1)","Madison Parks","MP 01.24.054",841128,"3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"11","DYE2485","12/5/24","MERTK K619M Clone 1D6 (2)","Madison Parks","MP 01.24.054",841128,"3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"12","DYE2486","12/5/24","MERTK K621I Clone 1H8 (1)","Madison Parks","MP 01.24.054",841128,"3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"13","DYE2487","12/5/24","MERTK K621I Clone 1H8 (2)","Madison Parks","MP 01.24.054",841128,"3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"14","DYE2488","12/5/24","MERTK L564S Clone 3F1 (1)","Madison Parks","MP 01.24.054",841128,"3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"15","DYE2489","12/5/24","MERTK L564S Clone 3F1 (2)","Madison Parks","MP 01.24.054",841128,"3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"16","DYE2490","12/5/24","MERTK R629W Clone 1C8 (1)","Madison Parks","MP 01.24.054",841128,"3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"17","DYE2491","12/5/24","MERTK R629W Clone 1C8 (2)","Madison Parks","MP 01.24.054",841128,"3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"18","DYE2492","12/5/24","MERTK K666N Clone 2E3 (1)","Madison Parks","MP 01.24.054",841128,"3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"19","DYE2493","12/5/24","MERTK K666N Clone 2E3 (2)","Madison Parks","MP 01.24.054",841128,"3245600","841128-3245600","RNA-seq Total Stranded","cells",NA,NA,NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx, HARTWELL_database_Master_2025.xlsx","Sheet1, Sheet1"
"20","DYE4277","6/24/26","H9DR_EB_IgG","Nadine Emil","NE 01.26.006 or ROF 01.26.006",877828,"3471750","877828-3471750","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"21","DYE4278","6/24/26","H9DR_EB_H3K4me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006",877828,"3471751","877828-3471751","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"22","DYE4279","6/24/26","H9DR_EB_H3K27me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006",877828,"3471752","877828-3471752","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"23","DYE4280","6/24/26","H9DR_EB_H3K27ac","Nadine Emil","NE 01.26.006 or ROF 01.26.006",877828,"3471753","877828-3471753","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"24","MDSEQ 4751","7/15/20","Corrected GBC amplicon from SCOOBY2884_day 0","Patel, Anand","AP_1.19.10",194101,"1977951","194101-1977951","Tagged Amplicon","tumor","RMS","human",NA,"MiSeq, Tagged Amplicon, Paired, 100 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"25","MDSEQ 4752","7/15/20","Corrected GBC amplicon from SCOOBY2884_day 3","Patel, Anand","AP_1.19.10",194101,"1977951","194101-1977951","Tagged Amplicon","tumor","RMS","human",NA,"MiSeq, Tagged Amplicon, Paired, 100 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"26","MDSEQ 4753","7/15/20","Corrected GBC amplicon from SCOOBY2884_day 21","Patel, Anand","AP_1.19.10",194101,"1977951","194101-1977951","Tagged Amplicon","tumor","RMS","human",NA,"MiSeq, Tagged Amplicon, Paired, 100 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"27","MDSEQ 4754","7/15/20","Corrected GBC amplicon from SCOOBY2884_day 28","Patel, Anand","AP_1.19.10",194101,"1977951","194101-1977951","Tagged Amplicon","tumor","RMS","human",NA,"MiSeq, Tagged Amplicon, Paired, 100 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"28","MDSEQ8369","7/8/26","pilot_EB_IgG","Nadine Emil","NE 01.26.006 or ROF 01.26.006",877828,"3471750","877828-3471750","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"29","MDSEQ8370","7/8/26","pilot_EB_H3K4me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006",877828,"3471751","877828-3471751","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"30","MDSEQ8371","7/8/26","pilot_EB_H3K27me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006",877828,"3471752","877828-3471752","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"31","MDSEQ8372","7/8/26","pilot_EB_H3K27ac","Nadine Emil","NE 01.26.006 or ROF 01.26.006",877828,"3471753","877828-3471753","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
